termToDefine,definition
Almandin,"Almandin, auch als Eisentongranat oder Eisen-Tonerdegranat bezeichnet, ist ein Mineral aus der Gruppe der Granate innerhalb der Mineralklasse der „ Silikate und Germanate “."
Traubensüße,"Als Traubensüße oder Traubenfruchtsüße bezeichnet man einen aus Trauben gewonnenen Dicksaft, der im Wesentlichen aus Wasser, Fruchtzucker und Traubenzucker besteht."
Jaucourt,Jaucourt ist eine französische Gemeinde mit 164 Einwohnern im Département Aube in der Region Grand Est ; sie gehört zum Arrondissement Bar-sur-Aube und zum Kanton Bar-sur-Aube.
Chromulina,Chromulina ist eine im Süßwasser vorkommende Gattung der Goldbraunen Algen.
Ca’ Biondetti,Ca’ Biondetti ist ein Palast in Venedig in der italienischen Region Venetien.
Kanashimi,Kanashimi ist der Name des 2007 gegründeten Depressive-Black-Metal -Soloprojektes des japanischen Musikers Misanthropy.
Boy Point,Der Boy Point ist eine Landspitze an der Südküste von King George Island im Archipel der Südlichen Shetlandinseln.
HK Kranjska Gora,"Der HK Kranjska Gora war ein slowenischer Eishockeyclub aus Kranjska Gora, der bis 2006 in der Slowenischen Eishockeyliga spielte und danach aufgelöst wurde."
Talkdemonic,"Talkdemonic ist ein US-amerikanisches avantgardistisches Instrumental - Duo aus Portland, Oregon."
Unechtes Scheitern,Als unechtes Scheitern wird in Teilen der Politikwissenschaft die Nichtannahme einer Vorlage in einer direktdemokratischen Abstimmung allein aufgrund des Verfehlens eines Quorums bezeichnet.
Schallenhaus,Das Schallenhaus war das erste Gefängnis in der Schweiz.
Gamsfell,"Das Gamsfell, auch Gämsfell, Gämsenfell oder Gamsdecke,  der in Gebirgen Europas und Vorderasiens vorkommenden Gämse hat als Fell keine wirtschaftliche Bedeutung."
Gudhem,Gudhem ist ein Ort in der schwedischen Provinz Västra Götalands län und der historischen Provinz Västergötland.
Björn Moschinski,"Björn Moschinski ist ein deutscher veganer Koch, Autor und Tierrechtsaktivist."
Rispe,Der botanische Begriff Rispe bezeichnet einen reich verzweigten Blütenstand.
Default-Effekt,"Der Default-Effekt, bei der ein Akteur keine aktive Entscheidung trifft."
Prinzessin Insomnia & der alptraumfarbene Nachtmahr,"Prinzessin Insomnia & der alptraumfarbene Nachtmahr ist ein Roman von Walter Moers aus dem Jahr 2017, welcher auf dem fiktiven Kontinent Zamonien spielt."
Spezifische Wärmekapazität,"Spezifische Wärmekapazität, auch spezifische Wärme, bezeichnet die auf die Masse bezogene Wärmekapazität und ist eine Stoffeigenschaft der Thermodynamik."
N34 (Demokratische Republik Kongo),"Die N34 ist eine Fernstraße in der Demokratischen Republik Kongo, die in Kirungu beginnt und in Mwandapole an der Zufahrt zu der N5 endet."
Friesische Freiheit,"Die Friesische Freiheit ist ein den Friesen angeblich von Karl dem Großen verliehenes Recht, keinen Herren außer dem Kaiser über sich zu haben."
Lötlampe,"Eine Lötlampe ist im heutigen Sprachgebrauch ein kleiner, handlicher propan - oder butanbetriebener Gasbrenner, dessen Einsatzgebiet aber nicht nur auf das Löten."
SB alt 29,"Die SB alt 29 waren Dampflokomotiven der Südbahngesellschaft, einer privaten Bahngesellschaft Österreich-Ungarns."
Große Baumratte,"Die Große Baumratte ist ein Nagetier aus der Gattung Chiruromys, das auf Neuguinea vorkommt."
Tsogtbadsaryn Enchdschargal,Tsogtbadsaryn Enchdschargal ist eine mongolische Ringerin.
OPER!,"OPER! ist eine 2015 in Berlin gegründete internationale Fachzeitschrift für Oper und Musiktheater, die monatlich erscheint."
Kantschu,"Der Kantschu ist eine bei orientalischen und slawischen Völkern verbreitete, aus Leder geflochtene Riemenpeitsche, mit einem kurzen Stiel oder auch ohne Stiel nur an einer Schlaufe um das Handgelenk getragen."
Kulturhistorische Schule,"Die kulturhistorische Schule ist eine Strömung in den Humanwissenschaften, die auf eine Gruppe russischer Psychologen und die von ihnen vertretenen Theorien und Ansätze zurückgeht."
Antidythemis,"Antidythemis ist eine Libellen gattung der Unterfamilie Pantalinae, über die 1889 von William Forsell Kirby eine Erstbeschreibung verfasst wurde."
Audi Star Talk,"Der Audi Star Talk war eine deutsche Talksendung mit prominenten Sportlern als Gäste, die 2009–2016 von Klaus Gronewald produziert und moderiert wurde."
Doppelter Achterknoten,"Der doppelte Achterknoten oder auch nur doppelter Achtknoten ist ein Knoten ist eine Verdopplung des Achtknotens, der ebenfalls eine Verdickung im Tauwerk erzeugt und Seeleuten als Stopperknoten oder als Griff dient."
BuEV Danzig,Der Ballspiel- und Eislauf-Verein Danzig war ein Fußballverein aus dem im heutigen Polen gelegenen Danzig.
gerechter Preis,Als gerechter Preis wird ein nach ethisch-normativen Kriterien ermittelter Wert beim Austausch von Gütern bezeichnet.
Jamanak,"Jamanak ist eine türkische Tageszeitung in armenischer Sprache, die seit 1908 in Istanbul erscheint."
Setra S 431 DT,"Der S 431 DT ist ein Doppelstockreisebus der Marke Setra, der seit 2002 von Evobus hergestellt wird."
Freepsum,Freepsum ist ein Dorf in der Gemeinde Krummhörn im Landkreis Aurich in Ostfriesland.
Suuri-Onkamo,Der Suuri-Onkamo ist ein See im Osten Finnlands.
Intelligent Munitions System,"Das Future Combat System Intelligent Munitions System ist ein in Entwicklung befindliches System von unbemannten, ferngesteuerten tödlichen und nichttödlichen Sensoren mit integrierter Aufklärungskomponente."
Ruptly,Ruptly ist eine im staatlichen russischen Auftrag agierende internationale Nachrichtenagentur mit Sitz in Berlin.
Pendleton-Straße,"Die Pendleton-Straße ist eine Meerenge zwischen der Rabot- und der Lavoisier-Insel im Archipel der Biscoe-Inseln westlich der Antarktischen Halbinsel.  Sie verbindet nördlich des Extension Reef den offenen Südlichen Ozean mit der Mudge-Passage, südlich des Riffs denselben mit dem nördlichen Ende des Crystal Sound."
Reservefront,Die Reservefront war ein Großverband der Roten Armee in der Zeit des Zweiten Weltkrieges.
Ramesseum,Das Ramesseum ist ein von Ramses II. in Theben-West erbauter Tempel.
Henry Wilt,"Henry Wilt ist die Hauptfigur in den fünf Wilt-Romanen von Tom Sharpe, die von 1976 bis 2010 erschienen sind."
SIG Sauer P239,"Die SIG Sauer P239 ist eine halbautomatische Pistole, die in der Schweiz von der Swiss Arms AG hergestellt wird."
Privatklage,"Die Privatklage bietet im deutschen Strafprozessrecht dem Verletzten die Möglichkeit, die Anklage einer Straftat auch ohne Mitwirkung der Staatsanwaltschaft vor dem Strafgericht zu erheben."
Heidelberger Elitestudie 04/05,Bei der Heidelberger Elitestudie 2005 handelt es sich um den zweiten Teil einer Gesamtuntersuchung der führenden Eliten in Deutschland und ist somit ein Folgeprojekt der im Vorjahr durchgeführten Heidelberger Elitestudie 2004.
Josef Stürmann,Josef Stürmann war ein deutscher Professor der Philosophie und Politiker der CSU.
Anharmonischer Oszillator,"Der anharmonische Oszillator ist ein schwingungsfähiges physikalisches System, bei dem die Rückstellkraft nicht proportional zur Auslenkung aus der Ruhelage ist."
Kunstmarkt,"Als Kunstmarkt wird heute die Gesamtheit aller Galerien, Kunstmessen, Sammlerbörsen oder Auktionen bezeichnet, bei denen sich Kunstwerke der Bildenden Kunst im Umlauf befinden."
Jacquier & Securius,"Jacquier & Securius ist der Name einer Privatbank, die von 1817 bis 1945 bestand."
Loop (Musik),Der Begriff Loop bezeichnet in der Musik eine wiederholt wiedergegebene Sequenz.
Buchtienia,Buchtienia ist eine Pflanzengattung in der Familie der Orchideen.
Ulster-Zyklus,Als Ulster-Zyklus wird eine Gruppe alt - und mittelirischer Sagen und Erzählungen zusammengefasst.
Dispositionsstufen-Verfahren,Das Dispositionsstufenverfahren ist eine der deterministischen Methoden der Bedarfsermittlung in der Beschaffungswirtschaft.
Triumph 2000,"Der Triumph 2000 war ein Pkw der oberen Mittelklasse, den die Triumph Motor Company von 1963 bis 1977 in Coventry herstellte."
Kuifje,Kuifje ist der Titel der niederländischen bzw. flämischen Ausgabe des belgischen Magazins Tintin.
Urs App,"Urs App ist ein Schweizer Forscher in den Gebieten der Buddhismuskunde, Geistes- und Ideengeschichte, Philosophie und der Geschichte der Ost-Westbeziehungen."
Rockfall Valley,Das Rockfall Valley ist ein Tal auf der Ulu-Halbinsel im Nordwesten der westantarktischen James-Ross-Insel.
Michael Köhl (Physiker),"Michael Köhl ist ein deutscher Physiker, der sich mit experimenteller Quantenoptik befasst."
Margaret King,"Margaret King Trotz ihres wohlhabenden aristokratischen Hintergrunds hegte sie republikanische Sympathien und vertrat fortschrittliche Ansichten über Bildung und Frauenrechte, die zum Teil dadurch geprägt waren, dass sie eine bevorzugte Schülerin von Mary Wollstonecraft war."
Funktionaloptometrie,"Die Funktionaloptometrie beschäftigt sich mit „Funktionsstörungen, die bei gesunden Augen aufgrund eines falschen Sehverhaltens oder einer fehlerhaften Sehentwicklung auftreten und zu Problemen der visuellen Wahrnehmung führen können“."
Sinus infraorbitalis,"Der Sinus infraorbitalis, auch Infraorbitaltasche genannt, ist eine Nasennebenhöhle bei Vögeln und entspricht vermutlich der Kieferhöhle der Säugetiere."
Othar,"Othar ist ein althochdeutscher Vorname, der aus den althochdeutschen Wörtern ot und heri ‚das Heer, der Krieger‘ zusammengesetzt ist."
Behaim Peak,"Der Behaim Peak ist ein markanter, pyramidenförmiger, felsiger und 1150 m hoher Berg im westlichen Grahamland auf der Antarktischen Halbinsel."
Nachtzeit,"Im Rechtswesen wird als Nachtzeit ein Zeitraum verstanden, in dem besondere rechtliche Regelungen gelten."
Golgatha-Kirche,"Golgatha-Kirche ist der Name verschiedener Kirchenbauten, die nach dem Ort Golgatha benannt sind, gemäß der Bibel die Stätte der Kreuzigung Jesu."
Justin Hui,"Justin Hui, mit vollständigen Namen Justin Hui Yong Kang, ist ein singapurischer Fußballspieler."
Arosaguntacook,Die Arosaguntacook waren ein Algonkin sprechender Indianerstamm im nordöstlichen Nordamerika und gehörten der Abenaki - Konföderation an.
Abelsches Integral,"Das abelsche Integral ist ein Integral mit einem Integranden, der eine bestimmte Form aufweist."
Criminal Tribes Act,"Mit dem Criminal Tribes Act oder Erlass über gemeingefährliche Stämme wird eine Gesetzesgebung in Britisch-Indien bezeichnet, die sich über mehrere Jahrzehnte entwickelt hatte."
Ellgriff,"Der Ellgriff bezeichnet eine Griffart, bei der die Handflächen ähnlich wie beim Kammgriff zum Gesicht gedreht werden, so dass die Daumen nach außen zeigen."
Trendextrapolation,"Die Trendextrapolation ist in Statistik und insbesondere in der Wirtschaft die Extrapolation von Trends, um deren vergangenheitsbezogene Zeitreihen in die Zukunft zu projizieren."
NGC 4300,NGC 4300 ist eine Spiralgalaxie vom Hubble-Typ Sa im Sternbild Jungfrau am Nordsternhimmel.
Nupedia,"Nupedia war eine freie, kommerzielle Online- Enzyklopädie in größtenteils englischer Sprache und der Vorläufer der Wikipedia."
Proud-Levine-Carpenter-Syndrom,"Das Proud-Levine-Carpenter-Syndrom ist eine sehr seltene angeborene Erkrankung mit den Hauptmerkmalen Mikrozephalie, Balkenagenesie und Genitalfehlbildung."
Woschod (Schiffstyp),"Woschod heißen sowjetische bzw. ukrainische Hochgeschwindigkeits- Tragflügelboote, die für Passagiertransporte auf Flüssen und Stauseen konzipiert sind."
Pocari Sweat,Pocari Sweat In der westlichen Welt kann es in vielen Asia-Läden erworben werden.
Amsberg,Amsberg ist der Name eines deutschen Adelsgeschlechts aus Mecklenburg.
Assureti,Assureti ist ein Dorf in der Nähe von Tiflis in der georgischen Verwaltungsregion Niederkartlien und gehört heute zur Munizipalität Tetrizqaro.
Helena Kornella,Helena Maria Kornella war Polens erste Urologin. Über ihre Deportation in die Sowjetunion schrieb sie ein Tagebuch.
Rahim Bakhsh,"Rahim Bakhsh war einer der bekanntesten Sänger und Musiker der afghanischen Musik im Kabuler Künstlerviertel Charabat, wo er Musik und Gesang von Kindesbeinen an erlernt hatte."
Kartik,"Kartika, ist ein Monat des hinduistischen Lunisolarkalenders, des bengalischen Solarkalenders, des indischen Nationalkalenders, des tamilischen Kalenders und des nepalischen Vikram Sambat, der etwa Mitte Oktober / Anfang November entspricht."
Beleuchtungsstange,"Die Beleuchtungsstange, oft auch als Erleuchtungsstange in der Literatur beschrieben, ist in der Heraldik eine gemeine Figur und recht selten."
